pred,label
100.37749,105.92135
78.01241,81.934425
102.809555,107.232
101.29741,100.50285
99.725815,98.84314
69.56649,73.70149
87.76829,91.0
72.10563,76.12448
82.06996,85.72301
92.65545,92.53846
80.12636,93.0
82.83243,86.37578
88.74041,93.03833
84.19939,91.42857
82.32652,85.71784
88.25685,91.3379
103.21463,107.78261
87.3782,91.26553
97.108795,99.48148
72.358765,75.84831
67.30089,70.51428
87.438484,91.237114
84.608185,88.380714
102.05441,102.382774
88.69245,90.44262
83.94511,89.01463
61.276783,63.25
60.00984,61.19737
77.75049,84.48529
95.53689,98.47541
80.71662,86.4086
71.481926,73.5
61.11243,61.568806
103.736595,103.62281
73.69076,77.64935
92.14366,92.97872
82.64691,84.86232
96.906715,96.38053
100.74724,102.86982
68.5594,71.32083
82.81307,84.93985
53.63235,53.822033
83.29793,85.63981
64.33285,67.41912
67.13392,70.038795
84.82739,91.47531
60.365696,62.390244
61.330418,58.90698
91.96322,94.53086
60.77444,61.94014
58.79214,55.302326
63.930397,66.623375
88.88653,93.57843
67.270836,71.04762
60.553806,55.785713
66.872635,70.85714
68.45059,71.60054
65.05018,67.72477
75.92938,79.70036
56.168777,57.916668
72.27115,71.9375
65.39425,60.0
81.11189,85.048035
65.47839,69.19512
65.14812,68.71292
74.106636,78.15278
58.088825,56.75
82.4502,86.57522
63.910194,64.97561
57.10934,56.987656
69.66651,72.93401
72.80806,82.26786
61.15246,63.05357
66.128685,67.96988
65.290794,69.47619
76.08445,80.104164
74.53243,82.243904
80.15554,86.0098
72.07808,75.37815
75.37852,79.66516
58.51122,59.16749
56.511013,53.145454
73.68229,76.971565
65.55474,68.9
57.096474,57.827465
78.193085,80.94
81.492645,85.402596
74.8091,76.80303
65.6424,66.71287
56.3534,58.43379
65.32599,66.703125
67.52892,69.41304
64.9008,66.45977
69.0895,71.07143
65.50209,66.63529
81.17438,86.05181
89.09305,98.951454
67.116325,68.98773
78.86488,81.895164
75.90667,79.82129
79.125084,82.93229
77.50922,81.553764
85.33225,88.482376
71.60864,76.30278
66.97186,69.26087
65.123535,65.16612
68.34087,70.53801
66.56884,69.00514
79.723274,83.70642
71.57468,76.05291
75.38423,79.208145
73.17031,77.620964
73.51813,77.07532
76.37716,79.17284
73.11446,74.16374
71.49715,74.66857
64.71705,66.06648
78.5482,85.35
65.811104,67.64919
82.78767,87.771576
74.175934,77.86957
64.53039,66.792
80.46362,87.26667
70.27055,74.23627
64.52199,64.61268
74.55258,80.05
74.02221,76.37417
66.42696,67.24399
96.642624,98.421486
64.75677,66.34775
82.83948,84.23572
85.72799,90.3037
66.053795,68.72381
73.7066,77.980705
76.59838,80.453125
67.42476,69.795746
65.66907,67.474625
80.900055,86.83279
72.16121,75.99039
72.5366,78.13127
57.706467,54.41584
69.34861,71.868484
72.2401,76.128204
86.03752,88.476746
69.32239,71.5297
